Number,Theme,Subtheme,Year,Set name,Minifigs
75201-1,Star Wars,The Last Jedi,2018,First Order AT-ST,4.0
75204-1,Star Wars,Legends,2018,Sandspeeder,2.0
75206-1,Star Wars,Episode II,2018,Jedi and Clone Troopers Battle Pack,4.0
75208-1,Star Wars,Episode V,2018,Yoda's Hut,3.0
75209-1,Star Wars,Solo,2018,Han Solo's Landspeeder,2.0
75212-1,Star Wars,Solo,2018,Kessel Run Millennium Falcon,7.0
75214-1,Star Wars,The Clone Wars,2018,Anakin's Jedi Starfighter,2.0
75215-1,Star Wars,Solo,2018,Cloud-Rider Swoop Bikes,3.0
75217-1,Star Wars,Solo,2018,Imperial Conveyex Transport,5.0
75223-1,Star Wars,MicroFighters,2019,Naboo Starfighter Microfighter,1.0
75224-1,Star Wars,MicroFighters,2019,Sith Infiltrator Microfighter,1.0
75225-1,Star Wars,The Last Jedi,2019,Elite Praetorian Guard Battle Pack,5.0
75226-1,Star Wars,Battlefront,2019,Inferno Squad Battle Pack,4.0
75228-1,Star Wars,MicroFighters,2019,Escape Pod vs. Dewback Microfighters,3.0
75232-1,BrickHeadz,Star Wars,2019,Kylo Ren & Sith Trooper,0.0
75233-1,Star Wars,Episode III,2019,Droid Gunship,4.0
75234-1,Star Wars,Episode III,2019,AT-AP Walker,5.0
75236-1,Star Wars,The Force Awakens,2019,Duel on Starkiller Base,2.0
75240-1,Star Wars,Resistance,2019,Major Vonreg's TIE Fighter,4.0
75242-1,Star Wars,Resistance,2019,Black Ace TIE Interceptor,3.0
75243-1,Star Wars,Episode V,2019,Slave I - 20th Anniversary Edition,6.0
75244-1,Star Wars,Episode IV,2019,Tantive IV,6.0
75248-1,Star Wars,The Rise of Skywalker,2019,Resistance A-wing Starfighter,2.0
75249-1,Star Wars,The Rise of Skywalker,2019,Resistance Y-wing Starfighter,5.0
75250-1,Star Wars,The Rise of Skywalker,2019,Pasaana Speeder Chase,4.0
75251-1,Star Wars,Miscellaneous,2019,Darth Vader's Castle,6.0
75252-1,Star Wars,Ultimate Collector Series,2019,Imperial Star Destroyer,2.0
75255-1,Star Wars,Episode III,2019,Yoda,1.0
75256-1,Star Wars,The Rise of Skywalker,2019,Kylo Ren's Shuttle,6.0
75257-1,Star Wars,The Rise of Skywalker,2019,Millennium Falcon,7.0
75258-1,Star Wars,Episode I,2019,Anakin's Podracer – 20th Anniversary Edition,3.0
75259-1,Star Wars,Episode V,2019,Snowspeeder – 20th Anniversary Edition,4.0
75261-1,Star Wars,Episode III,2019,Clone Scout Walker  – 20th Anniversary Edition,5.0
75262-1,Star Wars,Legends,2019,Imperial Dropship  – 20th Anniversary Edition,5.0
75263-1,Star Wars,Microfighters,2020,Resistance Y-wing Microfighter,1.0
75264-1,Star Wars,Microfighters,2020,Kylo Ren's Shuttle Microfighter,1.0
75265-1,Star Wars,Microfighters,2020,T-16 Skyhopper vs Bantha Microfighters,2.0
75266-1,Star Wars,The Rise of Skywalker,2020,Sith Troopers Battle Pack,4.0
75267-1,Star Wars,The Mandalorian,2020,Mandalorian Battle Pack,4.0
75268-1,Star Wars,Episode V,2020,Snowspeeder,2.0
75269-1,Star Wars,Episode III,2020,Duel on Mustafar ,2.0
75270-1,Star Wars,Episode IV,2020,Obi-Wan's Hut,4.0
75271-1,Star Wars,Episode IV,2020,Luke Skywalker's Landspeeder,3.0
75272-1,Star Wars,The Rise of Skywalker,2020,Sith TIE Fighter,3.0
75274-1,Star Wars,Helmet Collection,2020,TIE Fighter Pilot Helmet,0.0
75275-1,Star Wars,Ultimate Collector Series,2020,A-wing Starfighter,1.0
75276-1,Star Wars,Helmet Collection,2020,Stormtrooper Helmet,0.0
75277-1,Star Wars,Helmet Collection,2020,Boba Fett Helmet,0.0
75278-1,Star Wars,The Rise of Skywalker,2020,D-O,1.0
75279-1,Star Wars,Seasonal,2020,Star Wars Advent Calendar,10.0
75280-1,Star Wars,The Clone Wars,2020,501st Legion Clone Troopers,6.0
75281-1,Star Wars,Episode III,2020,Anakin's Jedi Interceptor,2.0
75283-1,Star Wars,The Clone Wars,2020,Armored Assault Tank (AAT),4.0
75284-1,Star Wars,The Rise of Skywalker,2020,Knights of Ren Transport Ship,3.0
75286-1,Star Wars,Episode III,2020,General Grievous's Starfighter,3.0
75288-1,Star Wars,Episode V,2020,AT-AT,6.0
75290-1,Star Wars,Master Builder Series,2020,Mos Eisley Cantina,21.0
75291-1,Star Wars,Episode VI,2020,Death Star Final Duel,5.0
75292-1,Star Wars,The Mandalorian,2020,The Razor Crest,5.0
75295-1,Star Wars,MicroFighters,2021,Millennium Falcon Microfighter,1.0
75296-1,Star Wars,Episode V,2021,Darth Vader Meditation Chamber,2.0
75297-1,Star Wars,The Force Awakens,2021,Resistance X-wing Starfighter,2.0
75298-1,Star Wars,MicroFighters,2021, AT-AT vs. Tauntaun Microfighters,2.0
75299-1,Star Wars,The Mandalorian,2021,Trouble on Tatooine,3.0
75300-1,Star Wars,Episode IV,2021,Imperial TIE Fighter,3.0
75301-1,Star Wars,Episode IV,2021,Luke Skywalker's X-wing Fighter,4.0
75302-1,Star Wars,Episode VI,2021,Imperial Shuttle,3.0
75304-1,Star Wars,Helmet Collection,2021,Darth Vader Helmet,0.0
75305-1,Star Wars,Helmet Collection,2021,Scout Trooper Helmet,0.0
75306-1,Star Wars,Episode V,2021,Imperial Probe Droid,0.0
"<a href=""/Sets/2021/__2021_star_wars_2021_advent_calendar"">75307</a>",Star Wars,Seasonal,2021,Star Wars Advent Calendar,7.0
75308-1,Star Wars,Miscellaneous,2021,R2-D2,1.0
75309-1,Star Wars,Ultimate Collector Series,2021,Republic Gunship,2.0
75310-1,Star Wars,The Clone Wars,2021,Duel on Mandalore,2.0
75311-1,Star Wars,The Mandalorian,2021,Imperial Armoured Marauder,4.0
75312-1,Star Wars,The Mandalorian,2021,Boba Fett's Starship,2.0
75313-1,Star Wars,Ultimate Collector Series,2021,AT-AT,9.0
75314-1,Star Wars,The Bad Batch,2021,The Bad Batch Attack Shuttle,6.0
75315-1,Star Wars,The Mandalorian,2021,Imperial Light Cruiser,6.0
75316-1,Star Wars,The Clone Wars,2021,Mandalorian Starfighter,3.0
75317-1,BrickHeadz,Star Wars,2020,The Mandalorian & The Child,0.0
75318-1,Star Wars,The Mandalorian,2020,The Child,1.0
75319-1,Star Wars,The Mandalorian,2021,The Armorer's Mandalorian Forge,3.0
75320-1,Star Wars,Episode V,2022,Snowtrooper Battle Pack,4.0
75321-1,Star Wars,Microfighters,2022,The Razor Crest Microfighter,1.0
75322-1,Star Wars,Episode V,2022,Hoth AT-ST,4.0
75323-1,Star Wars,The Bad Batch,2022,The Justifier ,5.0
75324-1,Star Wars,The Mandalorian,2022,Dark Trooper Attack,4.0
75325-1,Star Wars,The Book of Boba Fett,2022,The Mandalorian's N-1 Starfighter,4.0
75326-1,Star Wars,The Book of Boba Fett,2022,Boba Fett's Throne Room,7.0
75327-1,Star Wars,Helmet Collection,2022,Luke Skywalker (Red Five) Helmet,0.0
75328-1,Star Wars,Helmet Collection,2022,The Mandalorian Helmet,0.0
75329-1,Star Wars,Diorama Collection,2022,Death Star Trench Run Diorama,0.0
75330-1,Star Wars,Diorama Collection,2022,Dagobah Jedi Training Diorama,3.0
75331-1,Star Wars,Ultimate Collector Series,2022,The Razor Crest,0.0
