Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (GBP),RRP (USD),RRP (CAD),RRP (EUR),EAN,UPC,Width,Height,Depth,Weight,Notes,Qty owned,Qty owned new,Qty owned used,Wanted,Qty wanted,Priority,Flag 1 not used,Flag 2 not used,Flag 3 not used,Flag 4 not used,Flag 5 not used,Instagrammed,Flag 7 not used,Flag 8 not used,Value new (USD),Value used (USD),Launch date,Exit date
"75304-1","Star Wars","Helmet Collection",2021,"Darth Vader Helmet",,834,69.99,79.99,99.99,79.99,5702016914498,673419340854,19.1,35.4,11.8,,"",1,1,0,,0,1,,,,,,,,,57.1200,36.6900,"26/04/2021","31/12/2023"
"75305-1","Star Wars","Helmet Collection",2021,"Scout Trooper Helmet",,471,44.99,49.99,69.99,49.99,5702016914504,673419340861,19.1,35.4,9.1,,"",1,1,0,,0,1,,,,,,,,,39.2700,33.2400,"26/04/2021","31/12/2022"
"75306-1","Star Wars","Episode V",2021,"Imperial Probe Droid",,683,59.99,59.99,79.99,69.99,5702016914184,673419340540,19.1,35.4,9.1,,"",1,1,0,,0,1,,,,,,,,,47.9500,31.1500,"26/04/2021","31/12/2022"
"75307-1","Star Wars","Seasonal",2021,"Star Wars Advent Calendar",7,335,24.99,39.99,49.99,29.99,5702016933840,,38.2,26.2,7.1,,"",1,1,0,,0,1,,,,,,,,,35.9400,,"01/09/2021","31/12/2021"
"75308-1","Star Wars","Miscellaneous",2021,"R2-D2",1,2314,209.99,239.99,299.99,239.99,5702016914191,673419340953,37.8,58.2,10.3,,"",1,1,0,,0,1,,,,,,,,,180.0700,134.9700,"01/05/2021","31/12/2023"
"75309-1","Star Wars","Ultimate Collector Series",2021,"Republic Gunship",2,3292,344.99,399.99,499.99,399.99,5702016914573,673419340144,58.2,48,17,,"",1,1,0,,0,1,,,,,,,,,295.1800,291.9400,"01/08/2021","31/12/2023"
"75310-1","Star Wars","The Clone Wars",2021,"Duel on Mandalore",2,147,17.99,19.99,24.99,19.99,5702016914207,673419340960,26.2,14.1,4.8,,"",1,1,0,,0,1,,,,,,,,,17.4700,12.0200,"01/08/2021","31/12/2022"
"75311-1","Star Wars","The Mandalorian",2021,"Imperial Armoured Marauder",4,478,34.99,39.99,49.99,39.99,5702016914214,673419340977,35.4,19.1,7,,"",1,1,0,,0,1,,,,,,,,,34.2200,28.0100,"01/08/2021","31/12/2022"
"75312-1","Star Wars","The Mandalorian",2021,"Boba Fett's Starship",2,593,44.99,49.99,69.99,49.99,5702016913859,673419340601,28.2,26.2,7.6,,"",1,1,0,,0,1,,,,,,,,,41.3800,29.7000,"01/08/2021","31/12/2023"
"75313-1","Star Wars","Ultimate Collector Series",2021,"AT-AT",9,6785,734.99,849.99,1049.99,849.99,5702016913866,,49.9,49.9,37.9,,"",1,1,0,,0,1,,,,,,,,,745.5000,596.4700,"26/11/2021","31/12/2023"
"75314-1","Star Wars","The Bad Batch",2021,"The Bad Batch Attack Shuttle",6,969,89.99,99.99,139.99,99.99,5702016914436,673419340762,35.4,37.8,7.1,,"",1,1,0,,0,1,,,,,,,,,82.1800,54.5500,"01/08/2021","31/12/2022"
"75315-1","Star Wars","The Mandalorian",2021,"Imperial Light Cruiser",6,1336,139.99,159.99,199.99,159.99,5702016914443,673419340779,58.2,37.8,8.7,,"",1,1,0,,0,1,,,,,,,,,131.4700,100.0000,"01/08/2021","31/12/2022"
"75316-1","Star Wars","The Clone Wars",2021,"Mandalorian Starfighter",3,544,59.99,59.99,79.99,69.99,5702016914450,673419340786,38.2,26.2,7.1,,"",1,1,0,,0,1,,,,,,,,,63.6600,40.2000,"01/08/2021","31/12/2022"
"75317-1","BrickHeadz","Star Wars",2020,"The Mandalorian & The Child",,295,17.99,19.99,24.99,19.99,5702016899856,,19.1,14.1,7.1,,"",1,1,0,,0,1,,,,,,,,,16.1200,10.8400,"01/08/2020","31/12/2023"
"75318-1","Star Wars","The Mandalorian",2020,"The Child",1,1073,79.99,89.99,109.99,89.99,5702016928570,,26.2,38.2,11.8,,"",1,1,0,,0,1,,,,,,,,,61.2800,44.1000,"30/10/2020","31/12/2023"
"75319-1","Star Wars","The Mandalorian",2021,"The Armorer's Mandalorian Forge",3,258,24.99,29.99,39.99,29.99,5702016989410,,26.2,19.1,6.1,,"",1,1,0,,0,1,,,,,,,,,34.3200,24.0500,"01/09/2021","31/12/2022"
"75320-1","Star Wars","Episode V",2022,"Snowtrooper Battle Pack",4,105,17.99,19.99,24.99,19.99,5702017155067,,19.1,14.1,4.6,,"",1,1,0,,0,1,,,,,,,,,17.2800,11.0100,"01/01/2022","31/12/2023"
"75321-1","Star Wars","Microfighters",2022,"The Razor Crest Microfighter",1,98,8.99,9.99,13.99,9.99,5702017155470,,14.1,12.2,4.6,,"",1,1,0,,0,1,,,,,,,,,8.7300,4.6100,"01/01/2022","31/12/2022"
"75322-1","Star Wars","Episode V",2022,"Hoth AT-ST",4,586,44.99,49.99,64.99,49.99,5702017155487,,19.1,35.4,7,,"",1,1,0,,0,1,,,,,,,,,40.2000,26.6300,"01/01/2022","31/12/2023"
"75323-1","Star Wars","The Bad Batch",2022,"The Justifier ",5,1022,149.99,169.99,209.99,169.99,5702017155494,,58.2,37.8,8.7,,"",1,1,0,,0,1,,,,,,,,,142.2300,,"01/08/2022","31/07/2024"
"75324-1","Star Wars","The Mandalorian",2022,"Dark Trooper Attack",4,166,29.99,34.99,44.99,34.99,5702017155500,,26.2,19.1,4.6,,"",1,1,0,,0,1,,,,,,,,,26.1000,21.4600,"01/03/2022","31/12/2023"
"75325-1","Star Wars","The Book of Boba Fett",2022,"The Mandalorian's N-1 Starfighter",4,412,59.99,59.99,79.99,64.99,5702017155517,,38.2,26.2,5.7,,"",1,1,0,,0,1,,,,,,,,,51.7200,35.0000,"01/06/2022","31/12/2024"
"75326-1","Star Wars","The Book of Boba Fett",2022,"Boba Fett's Throne Room",7,732,89.99,99.99,129.99,99.99,5702017155524,,48,28.2,7.4,,"",1,1,0,,0,1,,,,,,,,,81.9600,50.0700,"01/03/2022","31/12/2023"
"75327-1","Star Wars","Helmet Collection",2022,"Luke Skywalker (Red Five) Helmet",,675,59.99,69.99,89.99,69.99,5702017155531,,19.1,35.4,9.1,,"",1,1,0,,0,1,,,,,,,,,49.7000,48.0000,"01/03/2022","31/12/2023"
"75328-1","Star Wars","Helmet Collection",2022,"The Mandalorian Helmet",,584,59.99,69.99,89.99,69.99,5702017155548,,19.1,35.4,9.1,,"",1,1,0,,0,1,,,,,,,,,48.2700,,"01/03/2022","31/12/2023"
"75329-1","Star Wars","Diorama Collection",2022,"Death Star Trench Run Diorama",,665,59.99,69.99,89.99,69.99,5702017155555,,28.2,26.2,7.6,,"",1,1,0,,0,1,,,,,,,,,49.2000,46.5500,"26/04/2022","31/12/2023"
"75330-1","Star Wars","Diorama Collection",2022,"Dagobah Jedi Training Diorama",3,1000,79.99,89.99,119.99,89.99,5702017155562,,38.2,26.2,9.4,,"",1,1,0,,0,1,,,,,,,,,65.7800,61.5000,"26/04/2022","31/12/2023"
"75331-1","Star Wars","Ultimate Collector Series",2022,"The Razor Crest",,6187,519.99,599.99,759.99,599.99,,,52.3,48,23.8,,"",1,1,0,,0,1,,,,,,,,,585.2800,,"03/10/2022","31/12/2024"
"75333-1","Star Wars","Episode II",2022,"Obi-Wan Kenobi's Jedi Starfighter",3,282,29.99,29.99,39.99,34.99,5702017155593,,26.2,19.1,6.1,,"",1,1,0,,0,1,,,,,,,,,26.9200,20.0000,"01/08/2022","31/07/2024"
"75334-1","Star Wars","Obi-Wan Kenobi",2022,"Obi-Wan Kenobi vs. Darth Vader",4,408,44.99,49.99,64.99,49.99,5702017155609,,28.2,26.2,7.6,,"",1,1,0,,0,1,,,,,,"Yes",,,42.0400,,"01/08/2022","31/07/2024"
"75335-1","Star Wars","Jedi: Fallen Order",2022,"BD-1",1,1062,89.99,99.99,129.99,99.99,5702017155616,,35.4,37.8,7.1,,"",1,1,0,,0,1,,,,,,,,,89.1900,,"01/08/2022","31/07/2024"
"75336-1","Star Wars","Obi-Wan Kenobi",2022,"Inquisitor Transport Scythe",4,924,89.99,99.99,129.99,99.99,5702017155623,,48,28.2,7.4,,"",1,1,0,,0,1,,,,,,,,,83.3500,85.0000,"01/08/2022","31/07/2024"
"75337-1","Star Wars","Episode III",2022,"AT-TE Walker",9,1082,119.99,139.99,179.99,139.99,5702017155630,,48,37.8,7.1,,"",1,1,0,,0,1,,,,,,,,,136.4100,65.4000,"01/08/2022","31/07/2024"
"75338-1","Star Wars","Andor",2022,"Ambush on Ferrix",3,679,69.99,69.99,89.99,79.99,5702017189635,,28.2,26.2,9.6,,"",1,1,0,,0,1,,,,,,,,,76.2100,,"01/08/2022","31/07/2024"
"75339-1","Star Wars","Diorama Collection",2022,"Death Star Trash Compactor Diorama",6,802,79.99,89.99,119.99,89.99,5702017189642,,38.2,26.2,7.1,,"",1,1,0,,0,1,,,,,,,,,76.9800,67.5000,"26/04/2022","31/07/2024"
"75340-1","Star Wars","Seasonal",2022,"Star Wars Advent Calendar",8,329,29.99,44.99,59.99,34.99,5702017154411,,38.2,26.2,7.1,,"",1,1,0,,0,1,,,,,,,,,32.0200,,"01/09/2022","31/12/2022"
"75341-1","Star Wars","Ultimate Collector Series",2022,"Luke Skywalker's Landspeeder",2,1890,209.99,239.99,299.99,239.99,5702017155647,,58.2,37.8,8.7,,"",1,1,0,,0,1,,,,,,,,,182.2600,144.8500,"04/05/2022","31/12/2024"
"75342-1","Star Wars","The Clone Wars",2022,"Republic Fighter Tank",6,262,39.99,39.99,49.99,44.99,5702017189659,,35.4,19.1,5.9,,"",1,1,0,,0,1,,,,,,,,,48.8400,30.9300,"26/04/2022","31/12/2023"
"75343-1","Star Wars","Helmet Collection",2022,"Dark Trooper Helmet",,693,59.99,69.99,89.99,69.99,5702017189666,,19.1,35.4,9.1,,"",1,1,0,,0,1,,,,,,,,,54.8600,30.0000,"01/03/2022","31/12/2023"
"75524-1","Star Wars","Buildable Figures",2017,"Chirrut Îmwe",,87,19.99,24.99,29.99,24.99,5702015867955,673419266604,14.097,26.2128,6.096,0.2494756,"",1,1,0,,0,1,,,,,,,,,14.2800,10.8100,"01/01/2017","31/12/2017"
"75525-1","Star Wars","Buildable Figures",2017,"Baze Malbus",,148,19.99,24.99,29.99,24.99,,673419266628,14.097,26.2128,7.2136,0.3039066,"",1,1,0,,0,1,,,,,,,,,10.4000,12.9900,"01/01/2017","31/12/2017"
"75526-1","Star Wars","Buildable Figures",2017,"Elite TIE Fighter Pilot",,94,19.99,19.99,24.99,19.99,5702015868181,673419266635,14.097,26.2128,6.096,0.2494756,"",1,1,0,,0,1,,,,,,,,,30.8000,23.5700,"01/09/2017","31/12/2018"
"75529-1","Star Wars","Buildable Figures",2017,"Elite Praetorian Guard",,92,19.99,24.99,29.99,24.99,5702015868211,673419266666,14.097,26.2128,6.096,0.2449397,"",1,1,0,,0,1,,,,,,,,,34.3300,21.7100,"01/09/2017","31/07/2018"
"75530-1","Star Wars","Buildable Figures",2017,"Chewbacca",,179,24.99,34.99,44.99,34.99,,673419266673,19.1008,26.2128,6.096,0.3492658,"",1,1,0,,0,1,,,,,,,,,32.0700,17.4200,"01/09/2017","31/12/2018"
"75531-1","Star Wars","Buildable Figures",2017,"Stormtrooper Commander",,100,19.99,24.99,29.99,24.99,,673419266680,14.097,26.2128,6.096,0.2948348,"",1,1,0,,0,1,,,,,,,,,44.2200,21.0700,"01/06/2017","31/07/2018"
"75532-1","Star Wars","Buildable Figures",2017,"Scout Trooper & Speeder Bike",,452,49.99,54.99,69.99,54.99,5702015868242,673419266697,38.2016,26.2128,7.0612,0.7665705,"",1,1,0,,0,1,,,,,,,,,74.0400,50.5500,"01/06/2017","31/12/2018"
"92177-1","Ideas","",2020,"Ship in a Bottle",,962,69.99,69.99,89.99,69.99,5702016956344,,38.2,26.2,7.1,,"",1,1,0,,0,1,,,,,,,,,88.5300,65.0800,"01/01/2021","31/12/2021"
"6373603-1","Miscellaneous","",2021,"Ulysses Space Probe",,236,,,,,,,,,,,"",1,1,0,,0,1,,,,,,,,,,,"",""
"6392343-1","Promotional","",2021,"Vintage Camera",,179,,,,,5702017229041,,14.8,14.8,4.6,0.214,"",1,1,0,,0,1,,,,,,,,,34.9900,,"",""







